Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,Feature_32,Feature_33,Feature_34,Feature_35,Feature_36,Feature_37,Feature_38,Feature_39,Feature_40,Feature_41,Feature_42,Feature_43,Feature_44,Feature_45,Feature_46,Feature_47,Feature_48,Feature_49,Feature_50,Feature_51,Feature_52,Feature_53,Feature_54,Feature_55,Feature_56,Feature_57,Feature_58,Feature_59,Feature_60,Feature_61,Feature_62,Feature_63,Feature_64,Label
24,44,31,46,27,22,32,59,50,36,27,15,11,-4,65,44,41,39,30,13,7,20,27,25,26,22,22,29,37,36,23,34,45,43,39,29,34,49,34,-16,44,0,47,4,58,17,65,58,61,52,46,34,18,7,18,64,63,58,32,23,63,62,40,55,0
-5,-46,-40,-14,-63,-42,-32,-64,-105,-148,-8,-55,-173,-70,-91,-47,-57,58,-71,-81,-152,-23,-55,-10,-6,-14,112,-33,-33,-32,-8,-71,-155,-14,44,-71,16,95,16,-32,-57,-69,-43,-142,-146,-154,-109,-92,-36,-49,-35,-60,-19,-18,-95,-120,-160,-119,-57,-85,-41,-36,-116,-12,0
161,164,275,284,161,226,82,57,180,170,172,131,97,-15,112,103,129,134,118,77,59,601,579,597,576,572,503,497,582,451,521,448,422,338,376,214,400,270,271,47,115,145,71,117,67,230,81,58,146,61,100,76,92,92,115,69,60,12,13,20,17,80,203,101,0
-39,-34,-26,-41,-39,-46,-49,-37,-57,-58,-64,-36,-43,-20,-41,-58,-59,-51,-48,-44,-19,43,34,14,12,10,-3,-26,-2,-36,-16,-34,-22,-36,-36,-34,-27,-3,-36,-34,-22,-48,-19,-30,-13,-46,4,-24,-27,-40,-44,-26,-25,-6,11,12,-12,-9,15,33,24,21,5,105,1
48,48,101,125,68,80,24,17,44,93,20,36,34,11,73,30,48,32,64,36,53,60,58,67,79,81,22,83,82,51,18,59,134,57,95,56,49,11,29,40,36,67,41,85,16,72,39,26,111,70,21,9,10,34,45,41,47,44,15,26,35,17,53,-5,0
2,-44,-74,11,-67,-49,-31,-10,-32,-77,-49,-66,-14,-39,-43,-95,-80,18,-60,-64,-24,-401,-344,-367,-356,-331,-182,-189,-299,-109,-152,-116,-92,-119,-98,-92,-108,-70,0,-10,37,-4,-1,-33,34,-3,6,-52,-115,-76,-78,-68,-54,-69,15,2,56,-116,-49,-5,-36,-29,-41,-12,1
-43,-27,-35,-40,-43,-18,-2,-13,-52,-59,-56,-43,-48,-39,-49,-57,-76,-82,-73,-58,-39,57,49,70,23,18,19,50,56,-3,-7,1,-1,-12,7,11,40,-36,-29,-9,-37,-32,-33,-8,-39,-21,-75,-74,-78,-101,-102,-91,-74,-64,-64,-92,-91,-109,-81,-93,-107,-124,-108,-194,1
-83,-32,-4,-87,-46,-136,90,51,-91,-11,2,-12,-48,155,-148,-80,-13,-11,-72,-45,-109,-88,-110,-180,-82,-84,-175,-76,-261,-51,-135,-81,-104,4,-123,-26,-42,-64,-68,45,-15,-266,-6,-156,-87,-301,-152,-120,-258,-18,11,-10,-25,-234,-214,-104,-144,-41,-37,-185,-119,-81,-333,-56,1
-44,-35,-11,1,33,40,35,-51,-26,-41,-29,-5,19,2,-55,-56,-48,-49,-20,-7,-10,133,135,171,71,70,58,99,186,-22,-11,9,10,31,44,42,76,58,-41,43,-51,25,-51,11,-61,1,-58,-50,-63,-56,-55,-28,-16,0,1,-50,-65,-61,-18,11,-61,-26,22,-13,1
-73,-91,-93,-92,-75,-63,-46,-72,-79,-74,-60,-65,-41,-41,-71,-67,-62,-56,-52,-46,-43,-95,-87,-78,-128,-125,-101,-95,-46,-109,-149,-100,-115,-101,-90,-87,-80,-32,-77,-6,-72,-20,-40,3,-57,-27,-64,-59,-51,-54,-60,-52,-47,-37,-27,-60,-65,-56,-36,-26,-70,-53,-69,-28,0
